old_dir,old_slug,new_dir_slug,new_category_name,new_slug,kb_type,title,tags,confidence,assign_reason,review_note
concepts,concepts/b-plus树与-innodb索引结构,database,数据库,database/b-plus树与-innodb索引结构,concept,B+Tree 与 InnoDB 索引结构,mysql|B+Tree|InnoDB|聚簇索引|数据结构,high,override:stem,
concepts,concepts/dubbo-与-nacos,middleware,微服务与中间件,middleware/dubbo-与-nacos,concept,Dubbo 与 Nacos,dubbo|nacos|微服务|注册发现,high,rule:middleware,
concepts,concepts/elasticsearch-搜索,search,搜索与 ES,search/elasticsearch-搜索,concept,Elasticsearch 搜索,elasticsearch|搜索|全文检索|大数据,high,override:stem,
concepts,concepts/io模型与-netty,middleware,微服务与中间件,middleware/io模型与-netty,concept,IO 模型与 Netty,netty|NIO|IO|高并发,high,"rule:middleware,java",
concepts,concepts/java-并发,java,Java 与 JVM,java/java-并发,concept,Java 并发,java|并发|多线程|JMM|线程安全,high,rule:java,
concepts,concepts/java-集合框架,java,Java 与 JVM,java/java-集合框架,concept,Java 集合框架,Java|集合|HashMap|ArrayList,high,rule:java,
concepts,concepts/jenkins-ci入门,ops,运维与 Linux,ops/jenkins-ci入门,concept,Jenkins CI 入门,Jenkins|CI|DevOps,high,override:stem,
concepts,concepts/jmm与happens-before,java,Java 与 JVM,java/jmm与happens-before,concept,JMM 与 happens-before,java|JMM|内存模型|happens-before|重排序,high,rule:java,
concepts,concepts/jvm-内存与gc,java,Java 与 JVM,java/jvm-内存与gc,concept,JVM 内存与 GC,jvm|内存|GC|调优,high,rule:java,
concepts,concepts/k8s入门与容器编排,ops,运维与 Linux,ops/k8s入门与容器编排,concept,K8s 入门与容器编排,Kubernetes|K8s|容器,high,rule:ops,
concepts,concepts/linux-运维基础,ops,运维与 Linux,ops/linux-运维基础,concept,Linux 运维基础,Linux|运维|服务器,high,rule:ops,
concepts,concepts/mongodb与文档库选型,database,数据库,database/mongodb与文档库选型,concept,MongoDB 与文档库选型,MongoDB|NoSQL|选型,high,override:stem,
concepts,concepts/mybatis-与-druid持久层,database,数据库,database/mybatis-与-druid持久层,concept,MyBatis 与 Druid 持久层,mybatis|druid|持久层|数据库,high,override:stem,
concepts,concepts/mysql-事务与锁,database,数据库,database/mysql-事务与锁,concept,MySQL 事务与锁,mysql|事务|锁|InnoDB|MVCC,high,override:stem,
concepts,concepts/mysql-索引,database,数据库,database/mysql-索引,concept,MySQL 索引,mysql|索引|性能优化|InnoDB|B+Tree,high,override:stem,
concepts,concepts/openfeign-与-http客户端,middleware,微服务与中间件,middleware/openfeign-与-http客户端,concept,OpenFeign 与 HTTP 客户端,Feign|Spring|Cloud|HTTP|REST,high,override:stem,
